document,,,,,,,,,
PMID/PM,Publisher,Journal tit,Article titl,COST (£) charged to Wellcome (inc VAT when charged),,,,,
NA,CUP,Psycholog,Reduced,£0.00,,,,,
PMC36795,ACS,Biomacro,Structural,£2381.04,,,,,
23043264  ,ACS,J Med Che,Fumaroyl,£642.56,,,,,
23438330,ACS,J Med Che,Orvinols,£669.64,,,,,
23438216,ACS,J Org Che,Regiosele,£685.88,,,,,
PMC35794,ACS,Journal of,Comparat,£2392.20,,,,,
PMC37092,ACS,Journal of,Mapping,£2367.95,,,,,
23057412,ACS,Mol Phar,Quantitati,£649.33,,,,,
,,,D9,,,,,,
PMCID: P,ACS (Ame,ACS Chem,A Novel A,£1294.59,,,,,
PMCID: P,ACS (Ame,ACS Chem,Chemical,£1294.78,,,,,
PMCID: P,ACS (Ame,Journal of,Locating S,£1329.69,,,,,
PMCID: P,ACS (Ame,Journal of,Synthesis,£1287.20,,,,,
PMCID: P,ACS (Ame,Journal of,Discovery,£1324.66,,,,,
 PMC3413,ACS Publi,Biochemi,Monomer,£665.64,,,,,
PMC36943,ACS Publi,Journal of,Synthesis,£1006.72,,,,,
PMC35727,AGA Instit,Gastroent,Much of t,£238.08,,,,,
22610094,AMBSB,Journal of,Annexin-,£265.67,,,,,
PMCID: P,American,Journal of,Sialoadhe,£2035.00,,,,,
23455506  ,American,Journal of,Regulatio,£3108.08,,,,,
PMID: 240,American,ACS Chem,Discovery,£1267.76,,,,,
: PMC3805,American,ACS Chem,Synthesis,£2286.73,,,,,
NA,American,ACS Chem,Discovery,£947.07,,,,,
PMCID:,American,ACS Chem,Continuo,£1186.80,,,,,
    PMC3656742,,,,,,,,,
PMCID: 35,AMERICA,ACS NAN,HYDROXY-,£642.89,,,,,
22971149,American,American,Characteri,£1533.29,,,,,
23072351,American,Analytical,Amphipat,£2082.74,,,,,
PMC34778,American,Analytical,Quantitati,£2314.10,,,,,
PMC35309,American,Analytical,Variable-,£759.67,,,,,
23458425,American,Bioconjug,"Design, sy",£1565.26,,,,,
PMID: 201,American,Journal of,Toward bi,£572.74,,,,,
PMCID: P,American,Journal of,"Design, sy",£750.66,,,,,
PMID:232,American,Journal of,A class of,£321.12,,,,,
PMC34111,American,Journal of,Proteomi,£1321.88,,,,,
PMC35936,American,Journal of,Chemical,£1626.14,,,,,
23373658,American,ACS Nano,Skin dend,£693.39,,,,,
PMC36736,American,CHEST,Synthetic,£2383.94,,,,,
PMC3574980,American,Journal of,Reliable e,£1276.08,,,,,
,,,,,,,,,
PMC3680818,American,Journal of,Response,£1291.02,,,,,
,,,,,,,,,
PMC3602834,American,Journal of,Interactio,£1319.17,,,,,
PMC32340,American,Journal of,Endogeno,£1514.35,,,,,
PMCID: P,American,Journal of,The effect,£1551.61,,,,,
3472478,American,Journal of,Bimodal c,£1314.58,,,,,
"23576705,",American,The Journ,Integratio,£1276.60,,,,,
NA,American,American,Methamp,£2351.73,,,,,
23599091,American,Americal J,High Load,£2350.02,,,,,
23025831,American,Behaviora,Evidence,£3021.72,,,,,
23731076,American,Behaviora,Dissociati,£3209.63,,,,,
23244291,American,Behaviora,The Neur,£3211.77,,,,,
PMC34443,American,Emotion,Subjectiv,£2534.53,,,,,
PMID: 234,American,Health Ps,Behavior,£3188.30,,,,,
PMC33571,American,Journal of,Lightenin,£2534.53,,,,,
PMC34504,American,Journal of,A randomized clinical trial of mindfulness-based cognitive therapy versus unrestricted services for health anxiety (hypochondriasis).,£3037.86,,,,,
23668184,American,Journal of,Asymmet,£3144.24,,,,,
PMC3607463,American,Journal of,Collective,£2659.32,,,,,
,,,,,,,,,
23421830,American,Journal of,The natur,£3092.18,,,,,
PMC34377,American,Psycholog,The factor,£2973.32,,,,,
PMC34443,American,Psycholog,Generaliz,£2534.53,,,,,
PMC34441,American,Psycholog,Investigat,£2973.32,,,,,
PMC37258,American,Journal of,Dissociabl,£2561.40,,,,,
PMID: 234,American,American,Health co-,£1422.25,,,,,
PMC35760,American,Journal of,Understa,£1100.00,,,,,
23239883,American,Journal of,Molecular,£2259.64,,,,,
PMC34813,American,J Biol Che,Structure,£1487.46,,,,,
PMC32348,American,J Biol Che,Inhibitory,£1531.08,,,,,
PMCID: P,American,Journal of,Human an,£1019.71,,,,,
PMID: 229,American,Journal of,Dynamic,£1119.61,,,,,
PMCID: P,American,Journal of,Uncouplin,£1131.01,,,,,
PMCID: PMC3436574,American,Journal of,Structural,£1137.51,,,,,
PMID: 232,American,Journal of,Visualizat,£1152.72,,,,,
