PropertyCrime,Population,Population2,Murder,Robbery
12,1861,3463321,0,0
24,2577,6640929,0,0
16,2846,8099716,0,0
4090,97956,9595377936,8,227
223,6388,40806544,0,4
46,4089,16719921,0,3
10,1781,3171961,0,0
2118,118296,13993943616,1,31
210,9519,90611361,0,4
405,18182,330585124,0,12
39,2053,4214809,0,0
33,4523,20457529,0,3
2,658,432964,0,0
5,2522,6360484,0,0
859,27270,743652900,1,22
25,3333,11108889,0,1
88,7473,55845729,0,1
94,5418,29354724,0,3
559,15374,236359876,0,13
191,5733,32867289,0,3
156,17627,310711129,0,1
442,34243,1172583049,0,3
2349,46304,2144060416,3,101
14,1410,1988100,0,0
99,12001,144024001,0,0
4,1022,1044484,0,0
24,2325,5405625,0,0
20,2054,4218916,0,0
31,2065,4264225,0,1
13,2358,5560164,0,0
11,7976,63616576,0,0
793,36689,1346082721,1,10
165,8284,68624656,1,5
47,6390,40832100,0,0
10,1174,1378276,0,0
12491,258789,66971746521,47,1322
15,6577,43256929,0,0
44,1854,3437316,0,0
46,2219,4923961,0,0
348,24165,583947225,0,0
315,10470,109620900,0,9
60,4704,22127616,0,0
12,2246,5044516,0,1
93,6794,46158436,0,1
2,762,580644,0,0
198,34462,1187629444,0,0
8,3481,12117361,0,0
60,3862,14915044,0,0
4,980,960400,0,0
59,3749,14055001,0,1
58,2732,7463824,0,0
53,1835,3367225,0,2
32,1733,3003289,0,0
2689,78361,6140446321,0,48
25,7990,63840100,0,0
65,5016,25160256,0,0
440,29571,874444041,0,2
1515,80705,6513297025,0,17
60,2049,4198401,0,3
218,4503,20277009,0,3
86,7458,55621764,0,0
243,16179,261760041,0,11
1990,78215,6117586225,0,31
16,1827,3337929,0,0
416,11087,122921569,0,8
22,2978,8868484,0,0
42,9543,91068849,0,0
398,19331,373687561,0,3
113,9264,85821696,0,2
53,8180,66912400,0,1
81,3209,10297681,0,0
152,4605,21206025,0,1
152,7827,61261929,0,2
36,2985,8910225,0,0
310,15189,230705721,0,2
14,1628,2650384,0,0
715,22681,514427761,0,10
8,1122,1258884,0,0
104,11021,121462441,0,0
41,2191,4800481,0,0
99,1913,3659569,0,1
307,12329,152004241,0,12
131,13774,189723076,0,2
168,19800,392040000,0,0
165,29315,859369225,1,1
373,16470,271260900,0,4
300,19674,387066276,0,1
66,1104,1218816,0,0
125,6596,43507216,1,3
147,3036,9217296,0,4
31,7684,59043856,0,0
173,4124,17007376,0,2
288,5144,26460736,0,1
1027,28921,836424241,0,29
89,4079,16638241,0,1
1,5948,35378704,0,0
604,13122,172186884,0,13
313,16292,265429264,0,1
53,5335,28462225,0,0
162,12109,146627881,1,0
276,20435,417589225,0,1
72,15926,253637476,0,7
44,2842,8076964,0,0
90,2265,5130225,0,1
50,5033,25331089,0,0
33,2579,6651241,0,0
32,1702,2896804,0,1
208,10988,120736144,0,5
933,43214,1867449796,0,76
16,1960,3841600,0,0
463,11739,137804121,0,7
346,22596,510579216,0,4
1051,28468,810427024,0,19
251,10442,109035364,0,2
162,7891,62267881,0,3
343,13194,174081636,1,5
9,1926,3709476,0,0
62,27134,736253956,0,1
5,526,276676,0,0
343,14582,212634724,0,3
492,21839,476941921,0,2
686,15315,234549225,0,6
64,5400,29160000,0,1
29,2663,7091569,0,0
26,2498,6240004,0,0
20,2794,7806436,0,0
2303,96667,9344508889,0,60
578,44787,2005875369,1,16
1,1553,2411809,0,0
42,2621,6869641,0,1
213,4065,16524225,0,1
21,3118,9721924,0,0
38,2381,5669161,0,0
672,33805,1142778025,0,5
1167,45535,2073436225,1,12
161,9517,90573289,0,0
10,656,430336,0,0
225,27876,777071376,0,1
81,7937,62995969,0,1
340,37196,1383542416,0,16
958,55198,3046819204,10,204
379,7693,59182249,0,3
39,3847,14799409,0,0
33,3270,10692900,0,0
38,3466,12013156,0,1
112,8481,71927361,0,0
110,6701,44903401,0,0
198,6676,44568976,0,8
112,7187,51652969,0,2
12,1428,2039184,0,0
180,21397,457831609,0,4
128,8002,64032004,0,2
1353,51506,2652868036,1,51
23,6530,42640900,0,0
1140,30658,939912964,0,39
949,14866,220997956,1,20
316,8531,72777961,0,4
2,1350,1822500,0,0
220,15256,232745536,1,10
98,13381,179051161,0,0
16,5042,25421764,0,0
687,23665,560032225,1,25
103,8296,68823616,0,0
533,17965,322741225,1,11
51,2491,6205081,0,0
32,3009,9054081,0,0
341,7280,52998400,0,1
547,36369,1322704161,0,4
87,5930,35164900,0,0
84,4354,18957316,0,1
134,16175,261630625,0,1
206,4285,18361225,0,2
130,4912,24127744,0,1
46,2311,5340721,0,1
18,3683,13564489,0,0
118,10751,115584001,0,0
649,20904,436977216,0,24
337,33534,1124529156,0,13
58,3457,11950849,0,0
164,19528,381342784,0,3
179,3543,12552849,0,3
61,9132,83393424,0,1
192,5881,34586161,0,2
21,8542,72965764,0,3
158,12146,147525316,0,1
181,19164,367258896,0,2
0,1688,2849344,0,0
402,24461,598340521,0,4
13,1792,3211264,0,0
135,8769,76895361,0,1
410,10808,116812864,0,2
114,5213,27175369,0,3
139,5953,35438209,0,3
101,3991,15928081,0,1
19,1813,3286969,0,0
852,27809,773340481,1,47
137,8544,72999936,0,5
114,8961,80299521,0,1
45,4188,17539344,0,0
276,6582,43322724,0,16
15,1263,1595169,0,0
9,3628,13162384,0,0
32,7112,50580544,0,0
108,11028,121616784,0,6
74,2912,8479744,0,1
226,26564,705646096,0,6
1436,68071,4633661041,2,228
334,8978,80604484,0,7
0,1622,2630884,0,0
1040,28571,816302041,5,150
1353,30984,960008256,0,15
77,17864,319122496,0,0
806,20355,414326025,0,3
200,14248,203005504,0,4
1391,78800,6209440000,0,81
471,25767,663938289,0,8
141971,8396126,7.04949E+13,335,19170
64,3324,11048976,0,0
2807,49574,2457581476,3,166
489,8241,67914081,0,2
341,22097,488277409,0,5
8,1754,3076516,0,0
68,12077,145853929,0,0
230,12137,147306769,0,2
59,7411,54922921,0,1
111,6964,48497296,0,0
586,31176,971942976,1,17
1,1097,1203409,0,0
325,7049,49688401,0,0
397,11072,122589184,0,5
208,20026,401040676,0,6
54,2171,4713241,0,1
39,4625,21390625,0,0
593,14150,200222500,0,5
434,11220,125888400,0,4
311,13825,191130625,0,11
317,37438,1401603844,0,13
346,29386,863536996,0,4
10,1385,1918225,0,0
243,25314,640798596,0,21
630,18139,329023321,1,13
199,3818,14577124,0,2
13,1433,2053489,0,1
19,4233,17918289,0,0
73,2116,4477456,0,0
41,3475,12075625,0,0
248,23908,571592464,0,8
147,5558,30891364,0,1
172,6982,48748324,0,2
111,5123,26245129,0,1
99,3633,13198689,0,0
19,2550,6502500,0,0
12,2460,6051600,0,0
106,10374,107619876,0,2
483,19672,386987584,0,4
22,7100,50410000,0,0
0,1274,1623076,0,0
572,29328,860131584,0,19
31,1602,2566404,0,0
284,8689,75498721,1,3
8,997,994009,0,0
190,9613,92409769,0,0
787,30778,947285284,7,100
1339,43866,1924225956,1,12
33,5200,27040000,0,0
57,2354,5541316,0,0
41,977,954529,0,0
567,87204,7604537616,2,9
30,1947,3790809,0,0
159,9517,90573289,0,3
42,2635,6943225,0,0
922,33789,1141696521,0,26
10051,210562,44336355844,42,918
271,24129,582208641,1,11
662,32557,1059958249,4,23
60,6026,36312676,0,0
829,29146,849489316,2,16
88,9480,89870400,0,2
71,2279,5193841,0,1
155,5691,32387481,0,2
18,2715,7371225,0,0
150,5369,28826161,1,1
642,27081,733380561,1,8
319,19318,373185124,0,5
184,17564,308494096,0,0
2800,66041,4361413681,8,203
97,11573,133934329,0,1
0,872,760384,0,0
126,7700,59290000,1,1
292,2362,5579044,0,1
62,3043,9259849,0,0
80,14205,201782025,0,0
41,2412,5817744,0,0
15,1351,1825201,0,0
37,3064,9388096,0,0
0,1437,2064969,0,0
185,3805,14478025,0,1
10,2450,6002500,0,0
58,9996,99920016,1,1
24,1805,3258025,0,0
186,6487,42081169,0,6
1020,50603,2560663609,0,16
118,3161,9991921,0,1
114,3640,13249600,0,1
343,19963,398521369,0,5
404,32288,1042514944,2,34
24,6587,43388569,0,0
47,1691,2859481,0,0
107,15307,234304249,0,1
60,10886,118504996,0,1
6473,143834,20688219556,21,400
110,11449,131079601,0,3
94,4982,24820324,0,0
315,14987,224610169,0,4
1099,58082,3373518724,1,26
1985,49898,2489810404,1,145
66,1820,3312400,0,1
35,6578,43270084,0,0
83,3642,13264164,0,0
0,615,378225,0,0
437,12195,148718025,0,2
2528,61686,3805162596,7,102
571,27980,782880400,0,6
142,6887,47430769,1,1
767,27940,780643600,0,16
68,3012,9072144,0,0
78,3453,11923209,0,0
58,5828,33965584,0,1
59,8392,70425664,0,0
194,5175,26780625,0,3
1165,28179,794056041,0,16
242,10245,104960025,1,11
92,1862,3467044,0,0
54,4337,18809569,0,1
469,43777,1916425729,0,3
25,1797,3229209,0,0
164,4574,20921476,0,0
44,1732,2999824,0,0
896,44821,2008922041,1,9
62,2604,6780816,0,0
1232,57559,3313038481,1,28
36,3733,13935289,0,0
77,9141,83557881,0,0
541,10685,114169225,0,2
17,829,687241,0,0
58,5931,35176761,0,0
2368,199134,39654349956,6,390
334,36643,1342709449,0,2
